filename	hdu	keyword	value
c4d_150217_035539_ori.fits.fz	0	OBJECT	Blind15A_42
c4d_150217_035745_ori.fits.fz	0	OBJECT	Blind15A_43
c4d_150217_035936_ori.fits.fz	0	OBJECT	Blind15A_44
c4d_150217_040125_ori.fits.fz	0	OBJECT	Blind15A_45
c4d_150217_040327_ori.fits.fz	0	OBJECT	Blind15A_46
c4d_150217_040516_ori.fits.fz	0	OBJECT	Blind15A_47
c4d_150217_040713_ori.fits.fz	0	OBJECT	Blind15A_48
c4d_150217_040905_ori.fits.fz	0	OBJECT	Blind15A_49
c4d_150217_041101_ori.fits.fz	0	OBJECT	Blind15A_50
c4d_150217_042641_ori.fits.fz	0	OBJECT	Blind15A_45
c4d_150217_042834_ori.fits.fz	0	OBJECT	Blind15A_46
c4d_150217_043033_ori.fits.fz	0	OBJECT	Blind15A_47
c4d_150217_043226_ori.fits.fz	0	OBJECT	Blind15A_48
c4d_150217_043421_ori.fits.fz	0	OBJECT	Blind15A_49
c4d_150217_043620_ori.fits.fz	0	OBJECT	Blind15A_50
c4d_150217_043859_ori.fits.fz	0	OBJECT	Blind15A_01
c4d_150217_044100_ori.fits.fz	0	OBJECT	Blind15A_02
c4d_150217_044302_ori.fits.fz	0	OBJECT	Blind15A_03
c4d_150217_044500_ori.fits.fz	0	OBJECT	Blind15A_04
c4d_150217_044702_ori.fits.fz	0	OBJECT	Blind15A_05
c4d_150217_044858_ori.fits.fz	0	OBJECT	Blind15A_06
c4d_150217_045053_ori.fits.fz	0	OBJECT	Blind15A_07
c4d_150217_045244_ori.fits.fz	0	OBJECT	Blind15A_08
c4d_150217_045441_ori.fits.fz	0	OBJECT	Blind15A_09
c4d_150217_045641_ori.fits.fz	0	OBJECT	Blind15A_10
c4d_150217_045837_ori.fits.fz	0	OBJECT	Blind15A_11
c4d_150217_050039_ori.fits.fz	0	OBJECT	Blind15A_12
c4d_150217_050241_ori.fits.fz	0	OBJECT	Blind15A_13
c4d_150217_050439_ori.fits.fz	0	OBJECT	Blind15A_14
